Golden Lane,0,20,0,dublin,GOLDEN LANE,17,53.340803,-6.267732,OPEN
Deverell Place,0,30,0,dublin,DEVERELL PLACE,45,53.351464,-6.255265,OPEN
Wilton Terrace (Park),0,40,0,dublin,WILTON TERRACE (PARK),114,53.333653,-6.248345,OPEN
John Street West,0,31,0,dublin,JOHN STREET WEST,72,53.343105,-6.277167,OPEN
Fenian Street,0,35,0,dublin,FENIAN STREET,63,53.341428,-6.24672,OPEN
Merrion Square South,0,40,0,dublin,MERRION SQUARE SOUTH,113,53.338614,-6.248606,OPEN
South Dock Road,0,30,0,dublin,SOUTH DOCK ROAD,91,53.341833,-6.231291,OPEN
City Quay,0,30,0,dublin,CITY QUAY,99,53.346637,-6.246154,OPEN
Exchequer Street,0,24,0,dublin,EXCHEQUER STREET,9,53.343034,-6.263578,OPEN
The Point,0,40,0,dublin,THE POINT,67,53.346867,-6.230852,OPEN
Broadstone,0,30,0,dublin,BROADSTONE,116,53.3547,-6.272314,OPEN
Hatch Street,0,36,0,dublin,HATCH STREET,55,53.33403,-6.260714,OPEN
Lime Street,0,40,0,dublin,LIME STREET,62,53.346026,-6.243576,OPEN
Charlemont Street,0,40,0,dublin,CHARLEMONT PLACE,5,53.330662,-6.260177,OPEN
Kilmainham Gaol,0,40,0,dublin,KILMAINHAM GAOL,97,53.342113,-6.310015,OPEN
Hardwicke Place,0,25,0,dublin,HARDWICKE PLACE,61,53.357043,-6.263232,OPEN
Wolfe Tone Street,0,29,0,dublin,WOLFE TONE STREET,77,53.348875,-6.267459,OPEN
Greek Street,0,20,0,dublin,GREEK STREET,4,53.346874,-6.272976,OPEN
Guild Street,0,40,0,dublin,GUILD STREET,49,53.347932,-6.240928,OPEN
Herbert Place,0,30,0,dublin,HERBERT PLACE,19,53.334432,-6.245575,OPEN
High Street,0,29,0,dublin,HIGH STREET,7,53.343565,-6.275071,OPEN
North Circular Road,0,30,0,dublin,NORTH CIRCULAR ROAD,60,53.359624,-6.260348,OPEN
Western Way,0,40,0,dublin,WESTERN WAY,102,53.354929,-6.269425,OPEN
Talbot Street,0,40,0,dublin,TALBOT STREET,38,53.350974,-6.25294,OPEN
Newman House,0,40,0,dublin,NEWMAN HOUSE,53,53.337132,-6.26059,OPEN
Sir Patrick's Dun,0,40,0,dublin,SIR PATRICK DUN'S,58,53.339218,-6.240642,OPEN
New Central Bank,0,40,0,dublin,NEW CENTRAL BANK,66,53.347122,-6.234749,OPEN
Grangegorman Lower (Central),0,40,0,dublin,GRANGEGORMAN LOWER (CENTRAL),104,53.355173,-6.278424,OPEN
King Street North,0,30,0,dublin,KING STREET NORTH,101,53.350291,-6.273507,OPEN
Killarney Street,0,30,0,dublin,KILLARNEY STREET,115,53.354845,-6.247579,OPEN
Herbert Street,0,40,0,dublin,HERBERT STREET,47,53.335742,-6.24551,OPEN
Hanover Quay East,0,40,0,dublin,HANOVER QUAY EAST,117,53.343653,-6.231755,OPEN
Custom House Quay,0,30,0,dublin,CUSTOM HOUSE QUAY,8,53.347884,-6.248048,OPEN
Molesworth Street,0,20,0,dublin,MOLESWORTH STREET,27,53.341288,-6.258117,OPEN
Georges Quay,0,20,0,dublin,GEORGES QUAY,16,53.347508,-6.252192,OPEN
Kilmainham Lane,0,30,0,dublin,KILMAINHAM LANE,96,53.341805,-6.305085,OPEN
Mount Brown,0,22,0,dublin,MOUNT BROWN,82,53.341645,-6.29719,OPEN
Market Street South,0,38,0,dublin,MARKET STREET SOUTH,76,53.342296,-6.287661,OPEN
Kevin Street,0,40,0,dublin,KEVIN STREET,71,53.337757,-6.267699,OPEN
Eccles Street East,0,27,0,dublin,ECCLES STREET EAST,79,53.358115,-6.265601,OPEN
Grand Canal Dock,0,40,0,dublin,GRAND CANAL DOCK,69,53.342638,-6.238695,OPEN
Merrion Square East,0,30,0,dublin,MERRION SQUARE EAST,25,53.339434,-6.246548,OPEN
York Street West,0,40,0,dublin,YORK STREET WEST,51,53.339334,-6.264699,OPEN
St. Stephen's Green South,1,30,0,dublin,ST. STEPHEN'S GREEN SOUTH,37,53.337494,-6.26199,OPEN
Denmark Street Great,0,20,0,dublin,DENMARK STREET GREAT,59,53.35561,-6.261397,OPEN
Royal Hospital,0,40,0,dublin,ROYAL HOSPITAL,95,53.343897,-6.29706,OPEN
Heuston Station (Car Park),0,40,0,dublin,HEUSTON STATION (CAR PARK),94,53.346985,-6.297804,OPEN
Grangegorman Lower (North),0,36,0,dublin,GRANGEGORMAN LOWER (NORTH),105,53.355954,-6.278378,OPEN
St. Stephen's Green East,0,40,0,dublin,ST. STEPHEN'S GREEN EAST,36,53.337824,-6.256035,OPEN
Heuston Station (Central),0,40,0,dublin,HEUSTON STATION (CENTRAL),93,53.346603,-6.296924,OPEN
Townsend Street,0,20,0,dublin,TOWNSEND STREET,22,53.345922,-6.254614,OPEN
George's Lane,0,40,0,dublin,GEORGES LANE,50,53.35023,-6.279696,OPEN
Phibsborough Road,0,40,0,dublin,PHIBSBOROUGH ROAD,110,53.356307,-6.273717,OPEN
Eccles Street,0,20,0,dublin,ECCLES STREET,12,53.359246,-6.269779,OPEN
Portobello Harbour,0,30,0,dublin,PORTOBELLO HARBOUR,34,53.330362,-6.265163,OPEN
Mater Hospital,0,40,0,dublin,MATER HOSPITAL,78,53.359967,-6.264828,OPEN
Blessington Street,0,20,0,dublin,BLESSINGTON STREET,2,53.356769,-6.26814,OPEN
James Street,0,40,0,dublin,JAMES STREET,75,53.343456,-6.287409,OPEN
"JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1",0,1,0,dublin,ORIEL STREET TEST TERMINAL,507,53.35463,-6.242615,OPEN
Mountjoy Square East,0,40,0,dublin,MOUNTJOY SQUARE EAST,111,53.356717,-6.256359,OPEN
Merrion Square West,1,20,0,dublin,MERRION SQUARE WEST,26,53.339764,-6.251988,OPEN
Convention Centre,1,40,0,dublin,CONVENTION CENTRE,65,53.34744,-6.238523,OPEN
Hardwicke Street,0,16,0,dublin,HARDWICKE STREET,15,53.355473,-6.264423,OPEN
Parkgate Street,0,38,0,dublin,PARKGATE STREET,86,53.347972,-6.291804,OPEN
Smithfield,0,30,0,dublin,SMITHFIELD,35,53.347692,-6.278214,OPEN
Dame Street,1,16,0,dublin,DAME STREET,10,53.344007,-6.266802,OPEN
Heuston Bridge (South),0,25,0,dublin,HEUSTON BRIDGE (SOUTH),100,53.347106,-6.292041,OPEN
Cathal Brugha Street,0,20,0,dublin,CATHAL BRUGHA STREET,24,53.352149,-6.260533,OPEN
Sandwith Street,0,40,0,dublin,SANDWITH STREET,64,53.345203,-6.247163,OPEN
Buckingham Street Lower,0,29,0,dublin,BUCKINGHAM STREET LOWER,109,53.353331,-6.249319,OPEN
Rothe Abbey,0,35,0,dublin,ROTHE ABBEY,85,53.338776,-6.30395,OPEN
Charleville Road,0,40,0,dublin,CHARLEVILLE ROAD,107,53.359157,-6.281866,OPEN
Princes Street / O'Connell Street,1,23,0,dublin,PRINCES STREET / O'CONNELL STREET,33,53.349013,-6.260311,OPEN
Upper Sherrard Street,0,30,0,dublin,UPPER SHERRARD STREET,44,53.358437,-6.260641,OPEN
Fitzwilliam Square East,0,40,0,dublin,FITZWILLIAM SQUARE EAST,89,53.335211,-6.2509,OPEN
Grattan Street,0,23,0,dublin,GRATTAN STREET,57,53.339629,-6.243778,OPEN
St James Hospital (Luas),0,40,0,dublin,ST JAMES HOSPITAL (LUAS),80,53.341359,-6.292951,OPEN
Harcourt Terrace,0,20,0,dublin,HARCOURT TERRACE,41,53.332763,-6.257942,OPEN
Bolton Street,0,20,0,dublin,BOLTON STREET,3,53.351182,-6.269859,OPEN
Jervis Street,0,21,0,dublin,JERVIS STREET,40,53.3483,-6.266651,OPEN
Ormond Quay Upper,0,29,0,dublin,ORMOND QUAY UPPER,29,53.346057,-6.268001,OPEN
Grangegorman Lower (South),0,40,0,dublin,GRANGEGORMAN LOWER (SOUTH),103,53.354663,-6.278681,OPEN
Mountjoy Square West,0,30,0,dublin,MOUNTJOY SQUARE WEST,28,53.356299,-6.258586,OPEN
Wilton Terrace,0,20,0,dublin,WILTON TERRACE,39,53.332383,-6.252717,OPEN
Emmet Road,0,40,0,dublin,EMMET ROAD,83,53.340714,-6.308191,OPEN
Heuston Bridge (North),0,40,0,dublin,HEUSTON BRIDGE (NORTH),92,53.347802,-6.292432,OPEN
Leinster Street South,0,30,0,dublin,LEINSTER STREET SOUTH,21,53.34218,-6.254485,OPEN
Blackhall Place,0,30,0,dublin,BLACKHALL PLACE,88,53.3488,-6.281637,OPEN
